"Panel Type","Plus Panel","Serial #","Shooting FW","WL Control FW","Logging FW","GUI SW","Surface Check FW","Received Date","XC Base","Panel Status","Unit#","Sales Order#","Date Updated","Tracking Info","Comments","Verified","RMA","Spare","Customer District","Operating Company","Customer","Updated By","Activity","Field View History of Panel ","Viewed Digital Shooting Panel","Viewed Surface Tester","Related Panel Records","Changes Summary",
"P2000","","220505-1v1","","245","7","25.08","","2/20/2024","Denver","Leased","5005","","12/8/2025","","","Y","","N","TWG-Windsor","Chevron Corp","The Wireline Group","Rob Fogarty","","","","","ApzN2fHEg14JaMaKW-2sJ6 , g3XUKfitO94SmyNUEWaC8a , Tpcxe5gXhc4LyDXxnx6V94 , ULjVxtPE314m6h-8R0fAN2 , 4yXnSVRVD04CEkp02Gt8p8","",
"P2000","","240245-1v3","","245","7.1","25.08","","5/17/2024","Denver","Leased","5004","","12/8/2025","","","Y","","N","TWG-Windsor","Chevron Corp","The Wireline Group","Rob Fogarty","","","","","xImWQzngAO4HuIHgkFH2N6 , wmp8OL6E3t48qVkojJ0Vif , iKdIrjzjhY46UQbbxLV-Jc , 2IQO9q3rMQ45YH16UwJ5n9","",
"P2000","","240140-1v3","","185","7.2","25.10.1","","3/13/2024","Midland","Leased","8053","","11/20/2025","","","Y","","N","TWG-Windsor","Not Specified","The Wireline Group","Robert Grissom","N","","","","AV2tCH1ERC4xeItdxvSym4 , FVikMlP9xH4_QbIwIB3XTb , G5cUuJ47U4472XiEtBqPKc , 1Wg_7mD0bA4RuDkqVYwuM4 , QD90Sg0d5q4ReWAWftWWw5","",
"P2000","","240143-1v3","","179","7.1","","","2/20/2024","Midland","Leased","2124","","9/1/2025","","Updated with 12 panels from Midland shop.","Y","","N","","","Tier 1 Completions Solutions, Inc.","","","1210 , 1211 , 1307 , 1354","","","1hY6bkpwdl4laYrYFunuj1 , vlWTHu6BJG4P67Gpg2Eege , -JueidX7em40Uw2QDxEQS1 , w22abU0CdW44YQKDtfR1ce","",
"P2000","","230628-1v2","","182","7.2","","","2/15/2024","Midland","Leased","","","8/13/2025","","Updated to 182 and 7.2. Sent to Canada on 5-30-25","Y","","N","BEC-Canada","","Bonnetts Energy Corp","","","","","","lJNYX-jVE14Dq4AtzkYgy0 , to3deeS2ht4ViQBPqmQFe8 , M1Vyq10nHk48MhIyt9V5k9 , 7O2nXzvBy-48MjEklH7ald , xVQEyqcDnW4tUwq8k1Kdse , jycY56JRkb48allJcRXJM2 , SYGSBNwQm34ZazBvjPMa9d","",
"P2000","","231238-1v3","","180","7.1","22","","1/31/2024","Williston","Leased","1133","","8/13/2025","","Installed at Bonnetts shop on 4/21/25","Y","","N","BEC-Canada","","Bonnetts Energy Corp","","","","","","L5GvvDaokE4ymzlHYs0xMe , L_hYgWtSuT4Im83ZTAoHq0 , r-GskxD6cz452NBN0VJ1p9 , 0uOia5ccXG4zMwUxXW0fe2 , lI8-PtGLOX4tu7Xzq3BNg7 , EGrETnej3e4oAClGzqe_s7","",
"P2000","","240251","","180","7.2","","","3/28/2025","Williston","Leased","3134","","8/13/2025","","Installed at Bonnetts shop on 4/22/25","Y","","N","BEC-Canada","","Bonnetts Energy Corp","","","906 , 1106","","","1R72bb4f7v4_yowrQltcx1 , _Q5k_ImpKY4aU-Gb9X4Aa5 , SU4WP-PDU_4B2qW5P99OJ0 , YQaC2rRv2k45uoDfYoAR1f , KHQD9Fc6BZ4Sisyr92pzAb , zG0AU7wBUu4YYvXDoajMt5 , gDs477Ie9G4sYToqOsr0S8","",
"P2000","","240249","","180","7.2","","","3/28/2025","Williston","Leased","","","8/13/2025","","At shop as extra","Y","","N","BEC-Canada","","Bonnetts Energy Corp","","","848","","","Hl_dQZ9Tvt4yUWCZsC4Ka1 , ix6F-P5ak24aQ3euY3u6Kf , WB8iZnkQeU4SYS-RN547t2 , HUYk3HnzgQ4KuAYLfGuEua , KiKWFpXkzY4UAQrbmviRgd , SdgZ_3t9lp4pIj1qiNOfd2","",
"P2000","","240253-1v3","","184","7.2","","","5/17/2024","Williston","Loaned","","","7/28/2025","","Surefire day shop for toe preps","Y","","N","SRF-Williston","Phoenix Operating LLC","Surefire Wireline West, LLC","","","1039","","","rI8m4IHFuJ46ILxYwKndr3 , 6e8hHaemXD4duosomEK_I6 , UO4-jSGL7x4eAZFICbCsVb , 8gYxZWYKEm4uis5oNTnfS3","",
"P2000","","231239-1v3","","184","7.2","25.06","","4/4/2014","Williston","Leased","514","","6/19/2025","","","Y","","N","SRF-Williston","Continental Resources","Surefire Wireline West, LLC","","","","","","8RrVAAvS-Y4FmhftJdA2Yc , 5hMr2KSW2C4269di601Zoe , PHXy4YmkS94j2SmD2rojwc , 8Z-4u8LTYA40QYbBG2yKrd , IFy9ikElii4eYA_GV7KQ2f , aafKtV4pgF4IIj32vTH5P7 , 0YY79afxsr40mUVPVzrfsc , J1Z4NiiGwD4lyXoAmn5Hp8 , JvPMSZbQzE43i0GHxYzxD1 , p6aghpiySa4fMfnAvrnPy2 , aALuFQScQU4vqJ19Mizj66","",
"P2000","","230627-1v2","","184","7.1","25.06","","","Williston","Leased","515","","6/19/2025","","","Y","","N","SRF-Williston","Continental Resources","Surefire Wireline West, LLC","","","","","","QuYVEFtvms4BEV_DBIYgqb , 3PiNg31Y6e4-eHws7Zcky7","",
"P2000","","230632-1v2","","184","7.2","25.06","","","Williston","Leased","516","","6/19/2025","","","Y","","N","SRF-Williston","Kraken Operating","Surefire Wireline West, LLC","","","","","","MqYyWs8pJE4quU7WMjP2K0 , nh-zUZGcPt4fuqnNwd_rAa","",
"P2000","","230633-1v2","","180","7.1","22.1","","","Williston","Leased","","","4/16/2025","","","Y","","N","SRF-Williston","Phoenix Operating LLC","Surefire Wireline West, LLC","","","1629","","","qwVGUtvmfs4DeVy_XkJwcf , cnie6hndvo4lU1RV_bqHF3","",
"P2000","","240246-1v3","","176","7","20.2","","5/6/2024","Williston","Leased","Truck 8056","","9/11/2024","","","Y","","N","TWG-Windsor","Occidental Petroleum Corp","The Wireline Group","","","","","","RF4LRWmO7U4viv-oKy-g07","",
"P2000","","230525-1v2","","160","","","","7/5/2023","Williston","In Repair","","","4/5/2024","","Sent to Hasan","N","","","","","","","","739","","","","",
"P2500","N","240723-1v1","","189","7.2.0","25.12","","11/16/2024","Williston","Leased","182","","5/26/2026","","","Y","","N","GOW-Williston","Devon Energy","Go Wireline LLC","Martin Aguilar","","","","","y6oYoQxtrY41EKhZTytRCd , tSG-LL1slh4faPpLKKLBn9 , EytHExT8Vu4DyseYHnw5sa , YNkbH3-08348IPXFlCTLc5 , IvLbe7u56m4W2fbPlClnge , 01zDOI27I240YEmEzJeop7 , 09_FuZ1I8Q4GAow_knETlc , N_7tJW7y6243azP4gez6Q7 , hDWZ3ZZh994OY4y7cFqhJc , mXxlKWEaQr4fy4CHM6A4m9","",
